Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
32768,65536,137.542,125.665,162.498,143.188
32768,131072,274.32,251.15,324.187,285.966
32768,262144,545.85,502.306,648.932,571.804
32768,524288,1094.08,1003.81,1297.18,1134.37
65536,2,0.106451,0.06308,0.050973,0.04028
65536,4,0.118372,0.054179,0.050821,0.045413
65536,8,0.12454,0.041376,0.045878,0.041564
65536,16,0.149933,0.075687,0.0861571,0.077653
65536,32,0.22623,0.143857,0.16671,0.14868
65536,64,0.344304,0.281021,0.333286,0.292116
65536,128,0.624803,0.558802,0.653816,0.573189
65536,256,1.18274,1.10364,1.30261,1.14403
65536,512,2.25912,2.04695,2.5752,2.27218
65536,1024,4.46054,3.97651,5.1058,4.52799
65536,2048,8.82105,7.92455,10.1335,9.00628
65536,4096,17.5941,15.6308,20.0669,17.8962
65536,8192,34.8965,31.1222,40.281,35.784
65536,16384,69.6028,62.1419,80.2913,71.3953
65536,32768,139.059,124.17,160.294,142.881
65536,65536,279.378,248.188,320.562,285.809
65536,131072,556.513,496.295,640.247,564.767
65536,262144,1098.86,1064.81,1456.46,1263.61
65536,524288,2241.11,2157.15,2911.15,2530.79
131072,2,0.175648,0.132674,0.142233,0.119776
131072,4,0.204076,0.080505,0.087348,0.079679
131072,8,0.202328,0.080709,0.085831,0.077947
131072,16,0.272591,0.143517,0.167423,0.149524
131072,32,0.417054,0.282068,0.358232,0.292249
131072,64,0.6937,0.562929,0.655524,0.578391
131072,128,1.22675,1.121,1.32704,1.15204
131072,256,2.37597,2.10486,2.61011,2.29674
131072,512,4.60397,4.04045,5.1126,4.52753
131072,1024,8.99689,8.01273,10.1625,8.96793
131072,2048,17.8724,15.8991,20.3385,18.0291
131072,4096,35.4863,31.6956,40.3893,36.4459
131072,8192,70.5487,62.7824,79.8891,71.3981
131072,16384,140.732,125.508,159.648,141.755
131072,32768,282.187,250.813,319.444,283.603
131072,65536,561.391,501.483,639.156,567.456
131072,131072,1127.04,1004.18,1279.4,1144.39
131072,262144,2283.94,2008.32,2560.45,2278.3
131072,524288,4496.18,4024.67,5117.97,4540.12
262144,2,0.971783,0.227065,0.186761,0.14521
262144,4,0.706741,0.556332,0.189326,0.148453
262144,8,0.678729,0.147126,0.165398,0.144571
262144,16,0.643893,0.289498,0.363679,0.290298
262144,32,0.827491,0.572008,0.677225,0.580511
262144,64,1.43872,1.14609,1.35151,1.14723
262144,128,2.59011,2.15365,2.64179,2.29024
262144,256,4.83609,4.18956,5.24225,4.56254
262144,512,9.33001,8.22163,10.2922,8.9628
262144,1024,18.4889,16.3913,20.6874,18.0375
262144,2048,36.3263,32.4932,40.7807,35.5787
262144,4096,71.9797,64.8749,81.5744,71.0255
262144,8192,143.505,129.67,163.075,142.149
262144,16384,286.863,259.325,325.829,284.532
262144,32768,574.342,519.23,651.824,577.32
262144,65536,1162.26,1037.08,1321.14,1139.93
262144,131072,2289.45,2073.25,2639.65,2271.68
262144,262144,4580.03,4138.02,5203.96,4554.49
262144,524288,9168.12,8312.26,10454.4,9161.33
524288,2,0.819191,0.590611,0.593429,0.592218
524288,4,0.983102,0.284097,0.453312,0.282065
524288,8,0.783369,0.295444,0.332122,0.296123
524288,16,1.07076,0.579952,0.684772,0.572446
524288,32,1.66534,1.11933,1.3501,1.14469
524288,64,2.79215,2.1252,2.66421,2.28628
524288,128,4.99666,4.1635,5.24074,4.55715
524288,256,9.67897,8.29069,10.3673,8.99744
524288,512,18.4758,16.4003,20.6763,17.906
524288,1024,36.4863,32.6432,41.3246,35.7056
524288,2048,72.2617,64.9851,82.0456,71.4364
524288,4096,144.36,129.722,164.853,143.151
524288,8192,286.836,259.344,328.474,284.871
524288,16384,573.482,518.79,655.758,569.228
524288,32768,1147.73,1036.66,1313.42,1141.36
524288,65536,2294.64,2073.54,2623.16,2280.15
524288,131072,4589.24,4148.05,5248.92,4558.63
524288,262144,9164.11,8288.54,10535.3,9122.23
524288,524288,18409,16588.1,21047.8,18281.1
1048576,2,1.38112,0.877653,0.921023,1.62291
1048576,4,1.35821,0.907001,0.914421,0.614348
1048576,8,1.24167,0.578458,0.697737,0.593859
1048576,16,2.09257,1.13795,1.38754,1.17516
1048576,32,3.1887,2.21409,2.73595,2.35074
1048576,64,5.44631,4.24091,5.43194,4.68119
1048576,128,9.88889,8.38142,10.8098,9.345
1048576,256,18.9412,16.6396,21.4172,18.5203
1048576,512,37.0383,33.1607,42.6,36.8777
1048576,1024,73.0651,66.1533,85.0796,73.6654
1048576,2048,144.673,131.835,168.997,146.257
1048576,4096,289.123,263.411,339.309,293.361
1048576,8192,576.897,526.531,677.065,585.195
1048576,16384,1151.35,1053.63,1350.68,1170.7
1048576,32768,2299.73,2103.7,2706.16,2341.74
1048576,65536,4609.57,4208.64,5419.44,4687.31
1048576,131072,9213.2,8420.54,10829.3,9369.14
1048576,262144,18485.3,16834.9,21689.5,18831.6
1048576,524288,37201.1,35705.9,47916.3,41244.8
