Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8192,16384,2.00345,1.84397,2.09872,2.00937
8192,32768,3.94825,3.53703,4.13457,4.00688
8192,65536,7.85969,7.01281,8.20196,8.01104
8192,131072,15.6366,13.8196,16.3361,16.0038
8192,262144,31.1777,27.5335,32.6091,31.894
16384,2,0.06985,0.0219841,0.03293,0.0254841
16384,4,0.066925,0.0214871,0.0157481,0.01726
16384,8,0.054023,0.029638,0.01626,0.019167
16384,16,0.064461,0.020431,0.01856,0.017417
16384,32,0.066651,0.018522,0.0214671,0.0194459
16384,64,0.0708779,0.026834,0.027629,0.02823
16384,128,0.08523,0.044046,0.04762,0.0436801
16384,256,0.122521,0.07384,0.079597,0.076933
16384,512,0.181975,0.135504,0.141518,0.144187
16384,1024,0.299752,0.262993,0.275441,0.263215
16384,2048,0.545656,0.497711,0.575506,0.506455
16384,4096,1.03423,0.951528,1.06658,1.00551
16384,8192,2.00526,1.82858,2.08373,2.00241
16384,16384,3.94038,3.56564,4.09902,3.97524
16384,32768,7.82068,6.93584,8.13214,7.93423
16384,65536,15.6005,14.4194,16.28,15.8773
16384,131072,31.1121,27.4252,32.4512,31.7443
16384,262144,62.17,54.7643,64.8259,63.495
32768,2,0.067448,0.036071,0.03275,0.022683
32768,4,0.287599,0.038883,0.026804,0.025737
32768,8,0.084699,0.027881,0.03007,0.0340521
32768,16,0.076663,0.027845,0.026114,0.027269
32768,32,0.092994,0.029801,0.030134,0.029979
32768,64,0.104663,0.044102,0.04635,0.046048
32768,128,0.12631,0.079526,0.08422,0.086893
32768,256,0.192167,0.14413,0.151877,0.149294
32768,512,0.322053,0.267645,0.286388,0.284213
32768,1024,0.563492,0.508375,0.579734,0.537067
32768,2048,1.04747,1.00091,1.10696,1.04876
32768,4096,2.02699,1.85724,2.13743,2.06181
32768,8192,3.99287,3.6177,4.21434,4.10286
32768,16384,7.92435,7.07496,8.36206,8.16823
32768,32768,15.7115,14.0513,16.6534,16.313
32768,65536,31.3304,27.928,33.2429,32.5932
32768,131072,62.6025,55.6889,66.4109,65.1636
32768,262144,125.008,111.265,132.797,130.364
65536,2,0.503896,0.459542,0.0869959,0.047013
65536,4,0.119698,0.271645,0.046835,0.0406721
65536,8,0.081338,0.085177,0.046157,0.043658
65536,16,0.130467,0.042775,0.045937,0.045073
65536,32,0.14232,0.045454,0.048287,0.0457589
65536,64,0.176799,0.077318,0.082589,0.081782
65536,128,0.253275,0.145644,0.155227,0.150992
65536,256,0.374298,0.281969,0.304116,0.293869
65536,512,0.6148,0.52224,0.58202,0.543447
65536,1024,1.07788,1.00344,1.10074,1.05111
65536,2048,2.09909,1.88278,2.12746,2.05849
65536,4096,4.04647,3.62167,4.18074,4.06452
65536,8192,7.95942,7.01441,8.26886,8.08066
65536,16384,15.8106,13.9645,16.4758,16.1298
65536,32768,31.4332,27.705,32.872,32.2269
65536,65536,62.728,55.3565,65.6488,64.4088
65536,131072,125.35,111.406,131.197,128.805
65536,262144,250.816,221.357,262.267,257.545
131072,2,0.505798,0.31844,0.504931,0.476016
131072,4,0.494748,0.137364,0.121704,0.076911
131072,8,0.378631,0.076539,0.12483,0.080115
131072,16,0.232789,0.0789669,0.082596,0.0805591
131072,32,0.237002,0.171201,0.106655,0.082471
131072,64,0.329883,0.147937,0.156189,0.154126
131072,128,0.509409,0.296585,0.302,0.305331
131072,256,0.705511,0.563303,0.631096,0.575114
131072,512,1.25626,1.03328,1.14187,1.08748
131072,1024,2.31744,1.88253,2.18215,2.09766
